networkDomain.id,networkDomain.name,name,id,datacenterId
4ba393b5-6f43-41df-a461-54b3304ed00f,CES,Secure1,36a93259-5a95-42e4-ae16-79b8bd6fdba7,NA9
396dbe06-02f3-4649-8e6f-66cee0c68138,deenesh test - can delete,newvlan,df9f8621-2715-4906-8fc9-746e9225f790,NA9
8b914f97-80db-4e57-83bf-ff593a41d233,Demo Network,Production,1d866e91-bf54-489e-9972-5da26eb74ac8,NA12
8b914f97-80db-4e57-83bf-ff593a41d233,Demo Network,DR,cba70670-22a5-4347-80f7-98fbd7cee4fe,NA12
5a16cfe3-d01e-455b-8a5e-b6eeb52ef9ee,Ho1a, test network,Vlaninterna,4ffb50d0-3cbc-4ef2-8c56-a27cbe447413,NA9
b6c2afb2-07a9-4d9e-a118-b0c949a1e8f5,KC Hadoop,kc_vlan1,de4b9bff-6b22-4bf3-9fd4-aa0383565ec1,NA9
2709df9f-d07e-4627-8042-e4cfa316a963,Ben's Network Domain,COH Demo Network,74265f96-52df-4ad0-af06-aa920048e8a8,NA9
c6c2888b-3ad8-4b70-8a90-c9a93237588b,HW Demo Network Domain,DMZ VLAN,83ed61eb-da31-4f88-bcf9-1671a6f72e1e,NA12
c5e83e01-d7e3-4357-8725-1f7183f0ae70,delete network,TestVlan,41f770e0-b530-44f3-b3e3-246ae4fe5da8,NA12
dfcdb573-c54f-445d-86cd-43bf913b37d3,Rodrigo's Network,Rede WEB,3ce5acc3-e6f8-4ac6-9ed9-ef1c3ac3c194,NA9
dfcdb573-c54f-445d-86cd-43bf913b37d3,Rodrigo's Network,Rede interna,74c5d465-aaec-42bb-a484-9528e3551430,NA9
2709df9f-d07e-4627-8042-e4cfa316a963,Ben's Network Domain,Test123,df3e9d15-69be-4639-834c-137998e0163d,NA9
cac425da-a92e-4f1b-81b9-d250b617717c,DavidK Demo Domain,DemoVlan15,5ffdb1c8-b365-4c40-b5a0-f120daee1cea,NA9
6f5ea54b-e198-4d17-984c-df4d5eb66272,Ankit,ANkit test1,0c73ef91-db24-4bf4-b811-997384c92294,NA9
633ff927-e29b-41f2-afa0-c3ad797e05ff,A Rogers Demo,App Tier,7d51cdae-daa7-41f2-ad9d-56e0276d8fbe,NA9
633ff927-e29b-41f2-afa0-c3ad797e05ff,A Rogers Demo,DB Tier,fc713fd3-8e49-4b4c-af84-f0e751544884,NA9
633ff927-e29b-41f2-afa0-c3ad797e05ff,A Rogers Demo,web tier,a20c4dfd-46e4-48b0-95a2-8e7789616a79,NA9
38df496a-3494-4b15-a977-c5301a5c57e3,SAP COE,SAP,afb8ad6a-042c-4ef1-9a56-4d39d37a9f59,NA9
c5e83e01-d7e3-4357-8725-1f7183f0ae70,delete network,DeleteVlan2,be4fdd13-38f3-4a4f-9ed8-453ac8096ea2,NA12
cecdaa9c-cbd2-4b67-92bc-fe7315df624c,TestNet,TestNetVLAN10,6789c273-3752-4530-aa33-3e2de37ac107,NA12
f477c88b-412b-489c-b6a0-3bf64a4438c9,Craig Hadix Customer Demo Friday 11202015,Backup,14678e5e-e5d4-458e-81be-9917b3cb699f,NA12
f477c88b-412b-489c-b6a0-3bf64a4438c9,Craig Hadix Customer Demo Friday 11202015,Craigs_Production_Network,21448edb-dddc-4d3c-8693-60d3b7bbd9ea,NA12
f477c88b-412b-489c-b6a0-3bf64a4438c9,Craig Hadix Customer Demo Friday 11202015,Craigs_DMZ_Network,acc6defb-02e3-496c-9a96-8d6d33a9c544,NA12
624e1290-f784-4395-91bc-3a00b6e0b357,fhaze MCP 2.0 Sandbox,Freds Sandbox,751ec281-5c58-4ebf-8ac3-0b7c646c54f9,NA9
bf35862b-83f7-4a72-be73-e8b315c1d25d,Red Capa 4,Internal_VLAN,46fc4c1e-48d4-4257-97f0-67e088a326af,NA9
9d778fb4-8a4d-4231-af20-b61ab133fc3e,Adam Test Net,Guest,8002299c-d721-4efb-b7a8-b18adb68b4d9,NA12
9d778fb4-8a4d-4231-af20-b61ab133fc3e,Adam Test Net,Employee,ad870c53-add8-4f2c-93c4-6bac6fcc6430,NA12
beaec63d-7ad0-4e48-93d0-cbb4b24e8cd1,Doten-DEMO-MCP2,Prod1,54739d15-20fe-4550-a240-8724fc00a57d,NA12
